date,open,close,high,low,volume,code
2018-07-12,56.673,57.802,58.307,56.673,647707.0,601318
2018-07-13,58.188,57.961,58.337,57.703,393785.0,601318
2018-07-16,57.723,57.149,58.198,56.812,431942.0,601318
2018-07-17,57.327,57.446,57.683,56.852,379943.0,601318
2018-07-18,57.703,57.238,58.525,57.178,464485.0,601318
2018-07-19,57.782,58.129,58.713,57.772,703699.0,601318
2018-07-20,58.02,60.238,61.0,57.654,1069350.0,601318
2018-07-23,59.753,60.475,60.99,59.654,804573.0,601318
2018-07-24,60.456,61.129,62.376,60.426,836847.0,601318
2018-07-25,61.614,61.545,61.624,60.792,409006.0,601318
2018-07-26,61.663,60.198,61.861,60.079,482593.0,601318
2018-07-27,60.376,60.267,60.723,59.97,334171.0,601318
2018-07-30,60.297,60.951,61.307,60.149,376370.0,601318
2018-07-31,60.99,60.99,61.277,60.218,260698.0,601318
2018-08-01,61.188,59.109,61.792,59.03,563434.0,601318
2018-08-02,58.822,57.683,58.901,57.228,646804.0,601318
2018-08-03,57.852,57.248,58.178,57.208,362083.0,601318
2018-08-06,57.238,57.258,58.277,56.792,419785.0,601318
2018-08-07,57.535,58.97,59.01,57.386,561861.0,601318
2018-08-08,58.961,57.802,59.109,57.614,412109.0,601318
2018-08-09,57.802,60.02,60.386,57.604,635433.0,601318
2018-08-10,59.961,59.842,60.357,59.238,349041.0,601318
2018-08-13,59.208,58.961,59.258,58.079,454649.0,601318
2018-08-14,58.97,58.465,59.129,58.0,308740.0,601318
2018-08-15,58.446,56.465,58.465,56.109,613747.0,601318
2018-08-16,55.822,56.416,57.376,55.327,475074.0,601318
2018-08-17,57.129,56.02,57.248,55.901,351360.0,601318
2018-08-20,56.376,57.238,57.248,56.198,462142.0,601318
2018-08-21,57.287,58.832,59.06,57.287,636650.0,601318
2018-08-22,60.673,60.327,60.891,59.772,1041857.0,601318
2018-08-23,60.406,61.515,61.762,60.406,756111.0,601318
2018-08-24,61.089,61.852,62.703,60.891,572631.0,601318
2018-08-27,62.456,62.842,63.05,62.099,585793.0,601318
2018-08-28,63.168,62.277,63.208,61.98,424944.0,601318
2018-08-29,62.06,62.386,62.673,62.03,278926.0,601318
2018-08-30,62.871,62.535,63.416,62.396,458496.0,601318
2018-08-31,61.782,62.357,62.802,61.584,521114.0,601318
2018-09-03,61.98,62.109,62.376,61.495,323790.0,601318
2018-09-04,62.228,64.159,64.287,61.921,658378.0,601318
2018-09-05,63.772,62.178,64.0,62.178,507437.0,601318
2018-09-06,62.1,61.32,62.52,61.01,457426.0,601318
2018-09-07,61.88,62.78,63.5,61.6,494711.0,601318
2018-09-10,62.6,62.03,62.87,61.6,323390.0,601318
2018-09-11,62.0,61.68,62.58,61.25,347070.0,601318
2018-09-12,61.31,60.6,61.46,60.28,435460.0,601318
2018-09-13,61.78,62.4,62.4,61.01,538846.0,601318
2018-09-14,62.57,63.3,63.76,62.42,558370.0,601318
2018-09-17,62.3,62.51,63.18,62.25,269595.0,601318
2018-09-18,62.15,64.12,64.3,62.1,635569.0,601318
2018-09-19,64.09,65.15,65.8,63.81,834705.0,601318
2018-09-20,65.2,64.8,65.56,64.61,418923.0,601318
2018-09-21,65.28,67.49,67.5,64.97,810431.0,601318
2018-09-25,66.9,67.19,67.73,66.48,578103.0,601318
2018-09-26,67.23,67.96,69.0,66.83,908525.0,601318
2018-09-27,67.73,67.2,67.75,66.86,623574.0,601318
2018-09-28,67.5,68.5,69.1,67.44,739523.0,601318
2018-10-08,66.8,64.78,66.84,64.71,1128444.0,601318
2018-10-09,64.63,65.0,65.38,64.33,486319.0,601318
2018-10-10,65.09,64.65,65.58,64.2,582799.0,601318
2018-10-11,62.1,61.85,63.2,61.38,1145327.0,601318
2018-10-12,62.5,63.87,64.25,62.3,774616.0,601318
2018-10-15,63.9,63.2,64.44,63.09,539743.0,601318
2018-10-16,63.35,64.0,65.18,63.33,584034.0,601318
2018-10-17,65.17,64.16,65.32,62.41,761401.0,601318
2018-10-18,63.49,62.45,63.52,62.25,603019.0,601318
2018-10-19,61.99,65.62,66.1,61.88,1138815.0,601318
2018-10-22,66.01,67.93,69.42,65.62,1616881.0,601318
2018-10-23,68.0,65.51,68.32,64.88,1172134.0,601318
2018-10-24,65.78,66.25,67.85,65.56,810632.0,601318
2018-10-25,64.2,66.66,66.66,64.2,736202.0,601318
2018-10-26,66.3,65.54,66.77,64.38,797411.0,601318
2018-10-29,65.87,62.0,65.99,61.9,1216419.0,601318
2018-10-30,60.0,62.8,64.63,59.5,1269208.0,601318
2018-10-31,63.01,63.63,63.95,62.16,782835.0,601318
2018-11-01,64.22,64.3,65.5,64.08,689871.0,601318
2018-11-02,66.92,67.35,67.35,65.55,1173949.0,601318
2018-11-05,66.5,66.58,67.05,65.7,547131.0,601318
2018-11-06,66.2,66.8,66.8,65.8,385081.0,601318
2018-11-07,66.89,66.12,67.34,65.9,510658.0,601318
2018-11-08,66.93,66.3,67.17,66.0,504946.0,601318
2018-11-09,65.75,64.62,65.98,64.38,544689.0,601318
2018-11-12,64.4,64.66,65.14,63.75,458511.0,601318
2018-11-13,63.78,65.01,65.57,63.5,520997.0,601318
2018-11-14,65.05,63.95,65.09,63.6,573814.0,601318
2018-11-15,64.0,65.1,65.14,63.77,500579.0,601318
2018-11-16,65.0,65.25,66.39,64.69,619879.0,601318
2018-11-19,65.25,65.72,66.2,64.8,507628.0,601318
2018-11-20,65.0,64.1,65.44,63.91,591762.0,601318
2018-11-21,63.53,64.01,64.14,63.53,385249.0,601318
2018-11-22,64.18,63.14,64.2,62.82,443683.0,601318
2018-11-23,63.15,62.64,63.59,62.52,372335.0,601318
2018-11-26,63.0,63.2,63.87,62.8,369989.0,601318
2018-11-27,63.31,63.11,63.88,62.91,375596.0,601318
2018-11-28,63.12,63.77,63.96,63.01,411690.0,601318
2018-11-29,64.3,63.05,64.38,63.0,386653.0,601318
2018-11-30,63.06,63.49,63.65,62.9,349171.0,601318
2018-12-03,65.2,64.99,66.05,64.77,1121943.0,601318
2018-12-04,64.95,64.89,65.08,64.16,562473.0,601318
2018-12-05,64.05,64.25,64.6,63.98,450207.0,601318
2018-12-06,63.66,63.0,63.88,62.89,585865.0,601318
2018-12-07,63.32,63.0,63.53,62.98,270297.0,601318
2018-12-10,62.5,62.18,62.68,61.82,494650.0,601318
2018-12-11,62.18,62.17,62.57,61.82,419948.0,601318
2018-12-12,62.8,62.46,62.83,62.04,387392.0,601318
2018-12-13,62.7,63.2,63.5,62.4,782754.0,601318
2018-12-14,62.9,61.94,62.94,61.73,750755.0,601318
2018-12-17,61.87,61.27,62.26,61.03,712131.0,601318
2018-12-18,60.9,60.85,61.68,60.47,532302.0,601318
2018-12-19,61.0,60.12,61.26,59.88,515538.0,601318
2018-12-20,59.95,59.0,60.18,58.58,806955.0,601318
2018-12-21,58.75,58.34,58.85,57.45,739127.0,601318
2018-12-24,58.0,58.25,58.3,57.75,358748.0,601318
2018-12-25,57.54,58.21,58.78,56.88,664633.0,601318
2018-12-26,58.17,57.3,58.25,57.2,397821.0,601318
2018-12-27,58.28,56.9,58.38,56.9,751890.0,601318
2018-12-28,57.0,56.1,57.23,56.1,914988.0,601318
2019-01-02,56.04,55.18,56.18,54.94,825542.0,601318
2019-01-03,55.15,55.68,56.33,55.06,692711.0,601318
2019-01-04,55.28,56.59,57.0,55.23,1129855.0,601318
2019-01-07,57.09,56.3,57.17,55.9,765930.0,601318
2019-01-08,56.05,55.8,56.09,55.2,559920.0,601318
2019-01-09,56.2,56.95,57.6,55.96,819146.0,601318
2019-01-10,56.87,57.5,57.82,56.55,673282.0,601318
2019-01-11,58.0,58.07,58.29,57.5,457569.0,601318
2019-01-14,57.74,57.12,57.95,56.9,475326.0,601318
2019-01-15,57.26,58.59,58.69,57.06,586264.0,601318
2019-01-16,58.42,58.74,58.96,58.01,404111.0,601318
2019-01-17,59.05,58.73,59.8,58.56,535050.0,601318
2019-01-18,59.23,59.92,60.02,58.69,561756.0,601318
2019-01-21,59.93,60.79,61.11,59.85,559842.0,601318
2019-01-22,60.6,60.07,60.64,59.74,419507.0,601318
2019-01-23,59.82,59.49,60.4,59.45,374932.0,601318
2019-01-24,59.61,60.43,60.52,59.22,449406.0,601318
2019-01-25,60.5,61.29,61.78,60.43,672459.0,601318
2019-01-28,61.8,61.52,62.41,61.2,581648.0,601318
2019-01-29,61.38,61.65,61.9,60.98,395192.0,601318
2019-01-30,60.88,61.25,61.86,60.78,310003.0,601318
2019-01-31,61.8,62.98,63.19,61.55,692265.0,601318
2019-02-01,63.5,63.21,63.78,62.85,437924.0,601318
2019-02-11,62.88,64.39,64.51,62.88,541815.0,601318
2019-02-12,64.4,64.27,64.42,63.69,385193.0,601318
2019-02-13,64.66,65.02,65.4,64.03,578658.0,601318
2019-02-14,64.88,65.1,65.4,64.78,396202.0,601318
2019-02-15,64.8,63.25,65.01,63.22,534011.0,601318
2019-02-18,63.9,65.29,65.42,63.78,721361.0,601318
2019-02-19,65.58,65.68,67.27,65.28,785951.0,601318
2019-02-20,66.3,65.88,66.38,65.19,393508.0,601318
2019-02-21,65.8,65.39,66.68,65.09,543694.0,601318
2019-02-22,65.36,67.02,67.07,64.8,762218.0,601318
2019-02-25,68.22,73.0,73.0,68.14,2222382.0,601318
2019-02-26,71.71,70.01,72.6,69.92,1555638.0,601318
2019-02-27,70.3,69.98,71.43,68.99,1017663.0,601318
2019-02-28,69.98,70.01,70.95,69.41,598889.0,601318
2019-03-01,70.69,72.39,72.6,70.25,920751.0,601318
2019-03-04,73.0,72.58,75.1,72.21,1263275.0,601318
2019-03-05,72.48,72.07,72.74,71.57,659680.0,601318
2019-03-06,72.39,72.16,72.48,71.11,784653.0,601318
2019-03-07,72.15,70.29,72.15,70.0,1013473.0,601318
2019-03-08,68.66,68.7,70.2,68.25,913256.0,601318
2019-03-11,68.8,68.79,69.69,68.22,751857.0,601318
2019-03-12,69.6,69.25,70.92,68.96,969219.0,601318
2019-03-13,71.38,71.54,72.1,70.27,1405464.0,601318
2019-03-14,71.77,72.8,73.2,71.7,1055970.0,601318
2019-03-15,73.1,73.85,75.5,73.08,1255246.0,601318
2019-03-18,74.43,75.0,75.34,73.45,1156392.0,601318
2019-03-19,75.73,75.35,76.85,74.96,1012096.0,601318
2019-03-20,75.06,76.55,77.48,74.75,1078439.0,601318
2019-03-21,77.0,75.8,77.25,75.6,846258.0,601318
2019-03-22,75.76,74.72,76.26,74.06,772004.0,601318
2019-03-25,73.41,72.29,73.99,72.18,991052.0,601318
2019-03-26,72.99,72.69,73.23,72.15,634474.0,601318
2019-03-27,73.2,74.22,74.63,72.7,759817.0,601318
2019-03-28,73.4,73.4,73.94,72.88,484208.0,601318
2019-03-29,74.1,77.1,77.1,74.1,1429355.0,601318
2019-04-01,78.0,78.6,79.23,77.5,1168113.0,601318
2019-04-02,78.54,78.96,79.0,78.05,771175.0,601318
2019-04-03,78.48,79.86,80.15,78.37,760219.0,601318
2019-04-04,80.08,80.2,80.96,79.25,795626.0,601318
2019-04-08,80.7,80.59,82.25,80.02,916122.0,601318
2019-04-09,80.4,81.1,82.0,80.37,601737.0,601318
2019-04-10,80.8,82.03,82.11,79.66,783620.0,601318
2019-04-11,82.65,80.71,83.62,80.16,756628.0,601318
2019-04-12,80.35,80.44,81.16,79.9,526779.0,601318
2019-04-15,82.23,81.66,83.88,81.6,989953.0,601318
2019-04-16,81.22,85.01,85.13,80.9,1036222.0,601318
2019-04-17,84.92,84.48,85.35,83.8,631915.0,601318
2019-04-18,84.69,84.3,85.02,83.88,397287.0,601318
2019-04-19,85.27,87.0,87.0,84.2,789131.0,601318
2019-04-22,87.22,84.96,88.09,84.5,932115.0,601318
2019-04-23,84.75,86.06,87.38,84.5,678116.0,601318
2019-04-24,86.08,85.03,86.88,83.55,812851.0,601318
2019-04-25,84.35,83.4,84.99,83.15,655769.0,601318
2019-04-26,83.0,83.11,84.43,82.8,648959.0,601318
2019-04-29,83.88,86.43,87.13,83.3,946576.0,601318
2019-04-30,86.5,85.72,87.48,84.53,636731.0,601318
